tweet_id,content,post_date,relevance
A1480,A vacina já está na terceira e última fase de testes. Esperança para todos nós! 🇧🇷\n.\n.\n#DepFederalNicoletti\n#NicolettiFederal\n#PraRoraimaAvançar,2020-08-03,relevant
A1514,"Independente de qm estará prefeito, de governos, entes externos, Floripa tem q garantir imunização dos seus habitantes. Por isso colocamos no orçamento de 2021 recursos necessários p/ compra de vacina, q tenha autorização do MS, e que devolva a nossa gente uma vida normal. 👇🏻👇🏻👇🏻",2020-10-23,relevant
A1532,"@ttatirezende CoronaVac, do @butantanoficial ❤️",2020-12-19,relevant
A1557,"Trabalhadores da saúde, vacinem-se contra a gripe e protejam a sua saúde.\nSaiba mais em  #VacinaBrasil ",2020-04-04,irrelevant
A1584,"Outros resultados expressivos na Saúde do Município em 2019: SAMU Natal fez mais de 80 mil atendimentos. Pela primeira vez, Natal bateu a meta da campanha de vacinação contra a influenza. Atingimos a cobertura vacinal contra sarampo, caxumba e rubéola, devido a ações estratégicas",2020-02-18,irrelevant
A1587,"Bora apoiar a troca de Fogos por Vacina? @CarlosAlbertoFM @kelpslimaRN @senadorjean @DepEzequielRN @fatimabezerra @carloseduardo12 @HermanoMorais @tiagorebolo @NevinhaValentim @cglss77 @NatalSalve Assinem a petição e/ou divulguem, pfv!  ",2020-12-05,relevant
A1605,"3/ Ou seja: em meio à pandemia, a prioridade de Trump é defender os interesses econômicos das grandes empresas norte-americanas. \n\nJá a China comprometeu-se com a OMS a liberar quaisquer vacinas para todos. \n\n@PTnoSenado @FlavioDino @SenadorRogerio @senadorhumberto ",2020-05-19,relevant
A1688,Acesse na íntegra a nossa Nota de Posicionamento \nsobre a vacina contra a #COVID19 ➡️  @CinthiaCRibeiro @GeanLoureiro @EdvaldoNogueira @conasemsoficial @undime,2020-12-09,relevant
A1728,"Não bastasse todas as milhares de vidas que perdemos na pandemia, o fato de sermos um dos países mais afetados no mundo pela Covid-19 por conta do negacionismo e agora nem vacina Bolsonaro quer comprar por politicagem e preconceito.",2020-10-22,relevant
A1797,É preciso esclarecer que a grande maioria dos insumos para medicamentos produzidos no Brasil vem da China. São eles os maiores produtores de biotecnologia do mundo.\n\nDefendemos vacina para todos. É preciso salvar vidas!,2020-12-18,relevant
A390,Estamos entrando num nível de barbárie inimaginável. O capitão de Brasília comemora a morte de um voluntário pela ciência no teste da vacina. Toda vitória de Bolsonaro é uma derrota nossa e o prêmio desse genocida é a contagem dos mortos.,2020-11-10,relevant
A333,Vacina é um Direito! ,2020-10-21,relevant
A988,Uma oportunidade como essa nos permite ter acesso à vacina contra o novo coronavírus com mais facilidade e rapidez.\nAvançamos cada dia mais nessa luta! ✅,2020-06-08,relevant
A609,Rússia afirma ter vacina contra Covid-19 aprovada em duas semanas ,2020-07-29,relevant
A549,"Mesmo após diretor do Butantan ter afirmado que morte do voluntário não tem relação com os testes da coronavac, Bolsonaro segue espalhando fake news e jogando com a vida das pessoas. Isso só mostra a urgência de derrotarmos esse projeto obscurantista e da morte! #ForaBolsonaro",2020-11-10,relevant
A1366,"A mídia informa que Bolsonaro anunciou que não comprará a vacina contra a Covid Coronavac, fabricada na China. Se isso se confirmar, estará materializada a responsabilidade direta do presidente pela não imunização e, consequentemente, pelas mortes que vierem a ocorrer. 👇🏿",2020-10-21,relevant
A2046,"O MonitoraCovid-19, sistema que integra dados sobre o novo coronavírus no Brasil e no mundo, tem acompanhado como anda a adesão às medidas de isolamento social recomendadas pela OMS.\n\n#Fiocruz\n#covid19",2020-04-09,irrelevant
A1724,"Aproveitei  para anunciar que vamos lançar, já na transição de gestão, o nosso comitê próprio, com o objetivo de desenhar um caminho para otimizar o processo de vacinação da nossa população, uma eventual aquisição de vacina e um plano de priorização das faixas de risco. +",2020-12-09,relevant
A1681,"Vários países no mundo já iniciam o processo de imunização de suas populações. O Brasil, segue a linha negacionista e de total falta de comando por parte do governo Bolsonaro. O @psol50 defende vacinação para todos os brasileiros, já! Assine e compartilhe\n",2020-12-16,relevant
A990,"Na corrida pela vacina para covid-19, apenas um estudo está na fase de testagem maciça ",2020-06-13,relevant
A248,"Boa, @PDT_Nacional!🌹🇧🇷 #agoraé12 \n\n""Mais uma vez o PDT asssume uma posição de vanguarda na oposição, ao ingressar com uma ADI no STF para garantir que estados e municípios tenham autonomia para determinar vacinação compulsória contra a COVID-19.""\n\n",2020-10-21,relevant
A1426,Anvisa autoriza retomada de testes da CoronaVac  via @UOLNoticias @UOL,2020-11-11,relevant
A1761,✅ VACINAÇÃO H1N1 RETOMADA \n\nA partir desta segunda-feira (30) e será: \n\n• Por ordem alfabética; \n• Idosos pela manhã (8h às 12h);\n• Crianças à tarde (13h às 17h);\n• Drive Thru (sem sair do carro) das 8h às 16h somente para idosos. ,2020-03-29,irrelevant
A1067,"Como prefeito de Salvador, meu compromisso será com a liberdade e saúde das pessoas. Caso eleito, não haverá obrigatoriedade de vacinas sem a devida comprovação, e o uso de máscaras será opcional. Colocaremos à disposição o tratamento precoce nas unidades de saúde da cidade. 2️⃣8️⃣",2020-10-20,relevant
A624,"@AlanaMattos16 Não sou a favor do lockdown. Máscara sempre procurei usar por entender que é uma prevenção, mesmo que haja dúvida. Mas acompanho sim os questionamentos e a discussão da ciência a respeito do assunto. Acredito que a vacina precisa ser disponibilizada a todos, não obrigatória. ✌🏼",2020-11-05,relevant
A845,"CARIOCAS EM GRANDE RISCO NA PANDEMIA\n\nA taxa de letalidade da Covid-19 na cidade do Rio, de 10,7%, é uma das maiores do mundo! Precisamos manter o cuidado! Veja os dados no painel Monitora Covid-19, da Fiocruz.  #DeputadaMarthaRocha #coronavirus #RJ",2020-09-02,irrelevant
A1877,"Para não ter aqui prefeito como Bolsonaro em sua irresponsabilidade quanto a vida das pessoas na pandemia, que lute pela vacina acessível a toda a população,investimentos em educação e saúde pública, que valorize e respeite o servidor público e tenha políticas de inclusão social",2020-10-26,relevant
A1278,Celular chinês para postar asneiras pode? Póóóóóóde!\n\nSó não pode vacina para salvar vidas de brasileiros. ,2020-10-22,relevant
A1095,"Foram 600 mortes, só no dia de hoje. O Brasil ficou fora do esforço global para a produção da vacina. O presidente continua perdido em seu mundo bizarro, aglomerando gente, agredindo jornalistas e atuando em aliança com o vírus em favor da morte e do caos. #BastaBolsonaro",2020-05-05,relevant
A408,"O país está avançando no combate ao Coronavírus, com boas notícias sobre o avanço dos testes de vacinas para a doença, logo, não é preciso causar pânico! Seguindo as recomendações sanitárias, as pessoas têm o direito de se manifestar, isso é viver numa democracia! ",2020-07-23,relevant
A288,"Sendo eleita prefeita de Curitiba    NÃO OBRIGAREI NINGUÉM TOMAR VACINA DO COVID.\nadotarei protocolo de prevenção, atendimento e tratamento precoce.\nSe a doença começou em Março como pode já estar pronta uma vacina? Acorda Brasil, não somos cobaias.\n#MarisaLobo70 \n@jairbolsonaro ",2020-10-23,relevant
A436,"Parar estudos para verificar resultados é comum. O problema é que, no Brasil sob Bolsonaro, até vacinação e atuação da Anvisa viraram não só objetos de disputa, mas de possível instrumentalização. Quem perde é a sociedade que precisa da vacina contra covid e a democracia. ",2020-11-10,relevant
A995,Covid-19: Vacinas chegam neste sábado ao Brasil para início de testes  ,2020-07-18,relevant
A485,Bolsonaro é o principal culpado pelas mais de 155 mil vidas perdidas para o Coronavírus. Resultado do negacionismo  consciente e criminoso do genocida. Não quer a vacina chinesa e aposta na vacina de Oxford que tem composto básico fabricado na China. #ForaBolsonaro,2020-10-23,relevant
A1548,"""Nenhum prefeito tem prazer em fechar um estabelecimento [...] da minha parte vou colocar todos os recursos da prefeitura para adquirir a vacina. Vamos fazer um esforço absurdo para as empresas voltarem a funcionar, sem prejudicar a saúde de ninguém"" #DebateFecomércio",2020-12-11,relevant
A1369,"Na minha opinião, a posição de Jair Bolsonaro na pandemia é uma posição GENOCIDA! Ele é o principal responsável pelas mais de 155 mil mortes. Como prefeito, vou ofertar a vacina para imunizar toda a população. #OrlandoNoUol #Vote65",2020-10-22,relevant
A612,@anexo_doc É isso mesmo. E se eu for Prefeito vou garantir que Porto Alegre tenha as vacinas para todo mundo o quanto antes. ✌🏼,2020-10-18,relevant
A469,"Olá, pessoal! Depois de 10 dias em isolamento, saindo por uma boa causa: levar Dona Rosa ao 'drive-thru' para a vacinação contra a influenza. Faça o mesmo com seus pais e avós! Um ótimo dia para vocês! Deus abençoe!… ",2020-03-27,irrelevant
A51,"Tô feliz com os anúncios sobre a Coronavac e as vacinas da Pfizer e da Moderna. Resultados preliminares, mas promissores. Alento em meio ao aumento de infecções e internações. Se depender de nós, a vacina não será objeto de disputa política. É pela vida e saúde dos brasileiros!",2020-11-18,relevant
A483,"Como prefeito vou, junto com a Marklize, fazer uma ampla campanha para vacinar nossas mulheres contra o HPV. \nPela vida das mulheres, peço teu voto no #Zé13 , para mudar essa realidade para melhor.\n\n#ZeRicardoeMarklize #ZéRicardoPrefeito #MarklizeVice #HomemDaKombi #VamosCombi ",2020-10-03,irrelevant
A1187,"Como prefeito, vou comprar a primeira vacina aprovada e disponível para imunizar 100% da população e se necessário ajudar as outras cidades da região metropolitana. Isso é empatia e compromisso com a vida. Vacina não pode ser tema de disputa política.",2020-10-21,relevant
A1078,"Existem várias razões para que essa vacina contra o Covid não seja obrigatória, além da defesa da liberdade\nSimplesmente não há número suficiente para todos\nEntão não há de se ter obrigatoriedade, nem tão pouco restrições a quem não fizer uso.\n#STFcancelado",2020-12-21,relevant
A815,"Acompanhamos, neste sábado, em Senador Camará, a 26ª edição do programa Prefeitura Mais Perto de Você. A ação contou com a presença de mais de 20 órgãos municipais, que ofereceram atividades e prestaram diversos serviços, como vacinação e encaminhamento para vagas de emprego. ",2020-02-01,irrelevant
A941,"Quero celebrar os 120 anos da @fiocruz . Parabenizá-la pelo excelente trabalho em defesa da vida, em especial em tempo de pandemia. É parceira fundamental na construção do Plano de Ação de Enfrentamento do Convid 19 nas Favelas. Fiocruz é saúde pública de qualidade p/ tod@s 🌻",2020-05-25,irrelevant
A925,"Há 100 anos, na gripe espanhola, o mundo vivia tempos difíceis, o acesso à informação era limitado, milhões de pessoas morreram, não havia vacina para o vírus, mas mesmo assim conseguimos superar a pandemia. Apesar da OMS e da torcida do contra, desta vez não será diferente. ",2020-08-03,relevant
A1438,"O Brasil é o terceiro país com maior número de casos de Covid-19, está atrás apenas dos EUA e da Índia. São quase 192 mil mortos e o governo Bolsonaro por meio da Anvisa dificulta aprovação da vacina aos laboratórios concorrentes. Não temos como salvar vidas. #ForaBolsonaro",2020-12-29,relevant
A994,Covid-19: Instituto Butantan começa a testar vacina chinesa em 20 de julho  ,2020-07-06,relevant
A711,"É importante entender a capacidade de transmissão do Coronavírus que é muito rápida. Ainda não temos uma vacina e o vírus vai ficar entre nós por meses, teremos que nos adaptar para um ano diferente. #PoaContraOCorona ❤️ ",2020-04-06,relevant
A1770,"10.Entrar em contato com a embaixada da China a fim de solicitar do governo chinês a doação de respiradores para São Luís\n11.Antecipar a cobertura vacinal da gripe sazonal, a fim de evitar que os idosos tenham as duas enfermidades (a gripe sazonal e o COVID-19)",2020-03-17,irrelevant
A3,Chega a ser inacreditável que o governo esteja fazendo campanha CONTRA a vacinação. Um verdadeiro crime contra a saúde pública e a vida.,2020-09-01,relevant
A361,"#CuritibaContraVírus Amanhã anteciparemos a terceira fase da campanha de #VacinaçãoContraGripe, agora destinada a crianças (bebês) de 6 a 11 meses e 29 dias e pessoas com deficiência. ",2020-05-03,irrelevant
A1589,"Dentro de instantes o vice-presidente dos Estados Unidos será vacinado ao vivo, aqui no Brasil os dois “papangús” já afirmaram que NÃO irão tomar vacina. Hilário...",2020-12-18,relevant
A594,"Perguntaram pro Bolsonaro sobre a demora na vacinação no Brasil. A resposta? ""Não dou bola pra isso"". Ele fala tantos absurdos que nem surpreende mais, mas não podemos perder a capacidade de nos indignarmos. Quando isso acontecer, ele estará vencendo. O #ForaBolsonaro é urgente! ",2020-12-26,relevant
A1614,"1.A Inglaterra já marcou data p/ começar a vacinar contra a covid. ⅓ dos ingleses devem ser imunizados numa primeira etapa. No Brasil, ainda não temos nem sequer um Plano de Vacinação.O Governo e o Ministério da Saúde não sabem quem vai ser vacinado nem quando isso vai acontecer ",2020-12-01,relevant
A374,"Queremos todas as vacinas, para atender todos os brasileiros. Vacina não tem partido, nem nacionalidade, nem dono. O único partido da Imunização é a Saúde de Todos. #ImunizaçãoJá #BrasilLivreDoVirus",2020-12-17,relevant
A1087,"A ciência como aliada à medicina revolucionou o combate a doenças e epidemias. O Brasil tem bons resultados na erradicação de muitas delas, que antes acometiam a população, com vacinas distribuídas através dos postos de saúde. A vacinação não protege só você mas toda a comunidade",2020-09-03,relevant
A799,Ex-ministros da Saúde: Vacina para todos já! ,2020-12-09,relevant
A1245,"Primeiro-ministro do Reino Unido, Boris Johnson, é transferido para a UTI. O coronavírus não é uma gripezinha! #FiqueEmCasa",2020-04-06,irrelevant
A975,Morte de bebê por sarampo resulta de erro de governos e de quem não se vacinou ,2020-02-15,irrelevant
A1286,"Isso prova que Dir. do Butantan estava falando a verdade e, mais uma vez, @jairbolsonaro mentiu para todos!\n\nInaceitável @anvisa_oficial ser utilizada de forma política pelo patrão.\n\nVou tomar as medidas cabíveis p/ punir os responsáveis por esse absurdo!\n",2020-11-10,relevant
A1947,"Neste sábado, a China injetou sua primeira vacina de combate ao coronavírus em voluntários. \n\nO primeiro grupo de voluntários do experimento está limitado a residentes de #Wuhan, entre 18 e 60 anos de idade.\n\nJuntos vamos superar esta epidemia! ",2020-03-21,relevant
A661,"Começa amanhã a Campanha Nacional de Vacinação contra a Poliomielite e a Multivacinação. Levem seus filhos e filhas para tomar a vacina, não podemos retroceder e expor nossas crianças. Vacinação também é um ato de amor.\n\n",2020-10-04,irrelevant
A652,"Há esperança! Hoje, foi aplicada a primeira dose da vacina chinesa Coronavac, desenvolvida em parceria com o Instituto Butantan, em voluntários do RS. O primeiro a receber a vacina no Hospital São Lucas, em Porto Alegre, foi o médico intensivista Luciano Marini. #portoalegre ",2020-08-08,relevant
A1780,"O governador @FlavioDino não está medindo esforços para combater o #Covid19 em nosso estado. Ontem, o Fantástico mostrou que ele está aderindo, por meio do Consórcio Nordeste, a um protocolo preliminar com a Rússia, que está em etapa experimental da vacina. ",2020-08-17,relevant
A1909,"Estamos esperando que comece mesmo, senhor Governador! Pessoas estão morrendo, todos os dias! E queremos vacinas, gratuitas, para todos e todas ! ",2020-12-22,relevant
A760,Hj no dia do gari a minha homenagem a esses trabalhadores essenciais e lembrar que a prefeitura ao os manter expostos não os incluiu nos grupos prioritários para vacinar contra a gripe! ,2020-05-16,irrelevant
A617,"@amandamoraes500 Amanda, os recursos do fundo municipal da saúde são compostos com verbas federais. Claro que será feito em articulação com o governo federal. Em 30 segundos fica difícil detalhar. O objetivo é priorizar, tão logo a vacina estiver disponível.",2020-10-18,relevant
A899,@fabioandradebat @OGloboPolitica Não estou falando de velocidade nas estradas. A pauta é uma vacina que ainda não foi suficientemente testada.,2020-10-21,relevant
A1657,"""O resquício de uma mentalidade colonial precisa acabar"": o diretor-geral da OMS condenou o que chamou de ""comentários racistas"" de pesquisadores franceses que sugeriram que uma vacina contra o coronavírus fosse testada na África.  ",2020-04-07,relevant
A959,"Minha solidariedade aos familiares do senador Arolde de Oliveira (PSD),q não resistiu à Covid 19. Na Alerj, o coronavírus tb vitimou os deputados Gil Viana (PSL) e João Peixoto (DC). São mais de 155 mil pessoas q perderam a vida. Não é uma gripezinha. Bolsonaro,a vacina é urgente",2020-10-22,relevant
A1740,"É assim desde o início. Disse que a pandemia era uma gripezinha. Desdenhou do potencial destrutivo desse vírus e a resposta é a situação que enfrentamos. Laboratórios pelo mundo pesquisando, alguns países iniciam amanhã campanhas de vacinação e o Brasil não tem sequer um plano.",2020-12-07,relevant
A573,Em um país com mais de 180 mortes por COVID-19 e sem plano de vacinação o melhor a se fazer é sair sem máscara e provocar aglomeração como faz Jair Bolsonaro. 😑 ,2020-12-15,relevant
A431,"VACINA: Temos que fazer necessariamente a vacinação. É uma questão de saúde pública. Não cabe ao presente dizer que não vai comprar vacina porque ela vem da China. O bolsonarismo é, talvez, o maior risco à saúde do brasileiro mesmo com Covid.\n\n#tocomrenato50 #Eleicoes2020",2020-10-27,relevant
A1298,"Sobre o plano nacional de Vacinação do Ministério da Saúde q novamente teve sua apresentação adiada.\n\n“É um esboço rudimentar, com tantas fragilidades e lacunas que dificilmente poderá ser seguido” ",2020-12-09,relevant
